flow_no,inter_pkt_arrival,duration,connection_status,land,no_of_wrong_frags,no_of_urgent,src_port,dst_port,src_ip,dst_ip,src_mac,dst_mac,src_bytes,dst_bytes,minfpktl,meanfpktl,maxfpktl,stdfpktl,minbpktl,meanbpktl,maxbpktl,stdbpktl,minfiat,meanfiat,maxfiat,stdfiat,minbiat,meanbiat,maxbiat,stdbiat,protocol,fpackets,bpackets
122,0.00296,0.005920000,0,0,2,0,36162,6881,192.168.20.106,182.187.109.1,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,3547990017,0,74,74.0,74,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.00592,0.00592,0.00592,0.0,eth:ethertype:ip:tcp,1,1
123,0.013786729729729734,0.510109000,0,0,37,0,59028,443,192.168.20.106,68.232.34.200,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,580489124,2578150188,54,146.9047619047619,721,8672060.476190474,54,666.75,1506,100386321.25,0.0,0.0023817142857142856,0.04591,0.04861940758292193,1.4e-05,0.028755812500000005,0.107265,0.4332015821118242,eth:ethertype:ip:tcp,21,16
124,0.791859,5.543013000,0,0,7,0,46110,1027,192.168.20.106,45.121.91.54,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,222689234,4091045507,66,85.0,134,65836.0,66,68.66666666666667,74,18874.666666666664,0.0,1.17415475,4.502619,4.013342424143652,0.251767,0.28213133333333335,0.302126,0.5646846849944961,eth:ethertype:ip:tcp,4,3
125,0.6888585,5.510868000,0,0,8,0,45932,6000,192.168.20.106,148.72.170.179,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,3679971439,711931181,66,81.2,134,106201.6,66,68.66666666666667,74,18874.666666666664,0.0,0.9377996,4.516527,4.156653838585311,0.260904,0.2739566666666667,0.28929,0.5480382429453867,eth:ethertype:ip:tcp,5,3
126,1.0485736666666667,3.145721000,0,0,3,0,56296,13313,192.168.20.106,196.194.204.141,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,0,315709163,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0485736666666667,2.133409,2.2709594269431586,9999,0,0,0,eth:ethertype:ip:tcp,3,0
127,0.226936,0.453872000,0,0,2,0,43868,54341,192.168.20.106,185.143.61.106,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,2437885985,0,74,74.0,74,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.453872,0.453872,0.453872,0.0,eth:ethertype:ip:tcp,1,1
128,1.053382,2.106764000,0,0,2,0,56224,13313,192.168.20.106,196.194.204.141,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,0,1670726530,74,74.0,74,5476.0,999999,0,0,0,0.0,1.053382,2.106764,1.4897071107596955,9999,0,0,0,eth:ethertype:ip:tcp,2,0
129,0.0,0.000000000,0,0,1,0,36416,34359,192.168.20.106,200.222.177.108,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,0,4138949556,74,74.0,74,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:tcp,1,0
130,1.7227524285714286,12.059267000,0,0,7,0,45704,44941,192.168.20.106,41.73.107.38,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,1991966946,3502027098,54,57.333333333333336,74,82233.33333333333,58,58.0,58,0.0,0.0,1.9677006666666668,6.186677,10.072577248088098,0.253063,0.253063,0.253063,0.0,eth:ethertype:ip:tcp,6,1
131,1.6883156666666668,5.064947000,0,0,3,0,44651,53,192.168.20.106,192.168.20.1,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,88,88.0,88,7744.0,147,147.0,147,0.0,0.0,2.502585,5.00517,3.539189647991472,0.059777,0.059777,0.059777,0.0,eth:ethertype:ip:udp:dns,2,1
132,0.148163875,1.185311000,0,0,8,0,8881,6969,192.168.20.106,208.83.20.20,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,58,83.5,140,63881.0,58,210.0,662,465004.0,0.0,0.00022475000000000001,0.000425,0.0006910584273417119,0.28845,0.296103,0.300239,0.8883211850786291,eth:ethertype:ip:udp:data,4,4
133,0.0023995,0.004799000,0,0,2,0,36136,53,192.168.20.106,192.168.20.1,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,91,91.0,91,0.0,203,203.0,203,0.0,0.0,0.0,0,0.0,0.004799,0.004799,0.004799,0.0,eth:ethertype:ip:udp:dns,1,1
134,0.0013555,0.002711000,0,0,2,0,42901,53,192.168.20.106,192.168.20.1,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,93,93.0,93,0.0,267,267.0,267,0.0,0.0,0.0,0,0.0,0.002711,0.002711,0.002711,0.0,eth:ethertype:ip:udp:dns,1,1
135,0.0,0.000000000,0,0,1,0,8881,1337,192.168.20.106,103.224.182.250,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,58,58.0,58,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:udp:data,1,0
136,0.750682,3.002728000,0,0,4,0,42912,1900,192.168.20.106,239.255.255.250,0c:8b:fd:18:40:2f,01:00:5e:7f:ff:fa,,,209,209.0,209,393129.0,999999,0,0,0,0.0,0.750682,1.00132,2.293371405988245,9999,0,0,0,eth:ethertype:ip:udp:ssdp,4,0
137,0.001925,0.003850000,0,0,2,0,51854,53,192.168.20.106,192.168.20.1,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,80,80.0,80,0.0,179,179.0,179,0.0,0.0,0.0,0,0.0,0.00385,0.00385,0.00385,0.0,eth:ethertype:ip:udp:dns,1,1
138,0.0,0.000000000,0,0,1,0,8881,1337,192.168.20.106,104.27.130.137,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,58,58.0,58,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:udp:data,1,0
