flow_no,inter_pkt_arrival,duration,connection_status,land,no_of_wrong_frags,no_of_urgent,src_port,dst_port,src_ip,dst_ip,src_mac,dst_mac,src_bytes,dst_bytes,minfpktl,meanfpktl,maxfpktl,stdfpktl,minbpktl,meanbpktl,maxbpktl,stdbpktl,minfiat,meanfiat,maxfiat,stdfiat,minbiat,meanbiat,maxbiat,stdbiat,protocol,fpackets,bpackets
647,45048163.00566855,1126204075.141714000,0,0,24,0,36518,443,192.168.20.106,13.76.217.211,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,66,209.21428571428572,1382,7520761.785714285,66,737.7,1977,44629954.7,0.0,3.220169642857143,45.078376,43.44216715161556,4.8e-05,0.1642058,0.684327,1.4921687724404367,eth:ethertype:ip:tcp,14,10
648,45048160.36261752,1126204009.065438000,0,0,24,0,43468,443,192.168.20.106,23.23.201.249,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,66,190.78571428571428,910,6210377.5,66,723.0,2946,43136276.6,0.0,0.05337321428571429,0.737059,0.7192976151373048,-0.000141,0.2651843,0.591281,2.4017507611879507,eth:ethertype:ip:tcp,14,10
649,281551006.7240763,1126204026.896305000,0,0,3,0,55408,26269,192.168.20.106,185.206.225.249,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0426886666666666,2.106665,2.2558142894442055,9999,0,0,0,eth:ethertype:ip:tcp,3,0
650,281551020.2119197,1126204080.847679000,0,0,3,0,32864,28950,192.168.20.106,131.148.34.106,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0354020000000002,2.080073,2.2381665363606587,9999,0,0,0,eth:ethertype:ip:tcp,3,0
651,281551006.78743595,1126204027.149744000,0,0,3,0,45904,47783,192.168.20.106,185.104.244.226,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0560606666666665,2.160044,2.2890689150907333,9999,0,0,0,eth:ethertype:ip:tcp,3,0
652,281551007.96145123,1126204031.845805000,0,0,3,0,45712,21238,192.168.20.106,154.127.135.107,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0569716666666666,2.160019,2.2907273037474365,9999,0,0,0,eth:ethertype:ip:tcp,3,0
653,112620404.68401031,1126204046.840103000,0,0,9,0,50902,64064,192.168.20.106,197.210.47.148,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,59.714285714285715,74,128450.28571428571,58,58.0,58,3364.0,0.0,5.697777285714285,24.959972,35.312331845681065,0.35694,0.873693,1.390446,1.0150729635144462,eth:ethertype:ip:tcp,7,2
654,281551021.1570237,1126204084.628095000,0,0,3,0,36308,49627,192.168.20.106,102.252.65.119,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.015521,2.02669,2.1931073393093796,9999,0,0,0,eth:ethertype:ip:tcp,3,0
655,56310200.89555091,1126204017.911018000,0,0,19,0,60476,443,192.168.20.106,54.236.77.237,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,66,223.27272727272728,1145,5091924.545454546,66,829.75,1494,34112911.25,0.0,0.0004860909090909091,0.004315,0.005011612986581539,0.001478,0.28182825,0.746084,1.9943707596267677,eth:ethertype:ip:tcp,11,8
656,125133783.54377222,1126204051.893950000,0,0,8,0,43406,16049,192.168.20.106,197.210.47.136,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,56.857142857142854,74,116427.42857142857,58,58.0,58,0.0,0.0,4.4287091428571435,15.786657,27.0951702492025,0.324723,0.324723,0.324723,0.0,eth:ethertype:ip:tcp,7,1
657,125133784.15451378,1126204057.390624000,0,0,8,0,59138,57385,192.168.20.106,46.97.170.136,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,56.857142857142854,74,116427.42857142857,58,58.0,58,0.0,0.0,4.964366142857143,17.706619,30.376286698419023,0.365115,0.365115,0.365115,0.0,eth:ethertype:ip:tcp,7,1
658,140775507.17407465,1126204057.392597000,0,0,7,0,44946,33141,192.168.20.106,45.121.88.96,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,66,85.0,134,65836.0,66,68.66666666666667,74,18874.666666666664,0.0,1.1324782500000001,4.428503,3.894295189721402,0.330953,0.36538000000000004,0.390775,0.731195877581833,eth:ethertype:ip:tcp,4,3
659,281551019.64908725,1126204078.596349000,0,0,3,0,41882,6881,192.168.20.106,178.135.95.76,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0671866666666667,2.183479,2.31329893583471,9999,0,0,0,eth:ethertype:ip:tcp,3,0
660,125133782.98253512,1126204046.842816000,0,0,8,0,55164,49160,192.168.20.106,197.210.47.14,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,56.857142857142854,74,116427.42857142857,58,58.0,58,0.0,0.0,6.368638142857143,23.040223,38.98655857963489,0.467651,0.467651,0.467651,0.0,eth:ethertype:ip:tcp,7,1
661,112620407.18968539,1126204071.896854000,0,0,9,0,40860,58619,192.168.20.106,103.52.127.239,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,66,81.2,134,106201.6,66,68.0,74,41628.0,0.0,0.8165148,4.069259,3.648596312787426,0.429378,6.93151825,26.349845,23.624232429089602,eth:ethertype:ip:tcp,5,4
662,281551022.911662,1126204091.646648000,0,0,3,0,47906,13313,192.168.20.106,196.194.204.141,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0806266666666666,2.216779,2.343411126928862,9999,0,0,0,eth:ethertype:ip:tcp,3,0
663,281551019.9612015,1126204079.844806000,0,0,3,0,53198,16134,192.168.20.106,169.1.29.158,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.056684,2.160096,2.290215094254686,9999,0,0,0,eth:ethertype:ip:tcp,3,0
664,281551003.099544,1126204012.398176000,0,0,3,0,33702,60276,192.168.20.106,154.160.1.78,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0455236666666667,2.133337,2.2653684654205812,9999,0,0,0,eth:ethertype:ip:tcp,3,0
665,281551022.46218574,1126204089.848743000,0,0,3,0,46336,56368,192.168.20.106,1.132.104.166,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0490603333333333,2.132951,2.2717754222972832,9999,0,0,0,eth:ethertype:ip:tcp,3,0
666,18164581.166575547,1126204032.327684000,0,0,61,0,43720,443,192.168.20.106,104.16.254.149,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,91.78571428571429,571,6154145.6428571455,54,1252.5757575757575,2958,1607013959.636363,0.0,0.0005718214285714285,0.010165,0.01555495848710996,1.4e-05,0.07056345454545454,0.646042,2.2654187331629525,eth:ethertype:ip:tcp,28,33
667,125133779.23325256,1126204013.099273000,0,0,8,0,41548,56507,192.168.20.106,46.34.227.158,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,95.71428571428571,122,330763.4285714286,58,58.0,58,0.0,0.0,1.2807447142857142,4.185569,7.8224047053730414,0.419147,0.419147,0.419147,0.0,eth:ethertype:ip:tcp,7,1
668,45048160.692659765,1126204017.316494000,0,0,24,0,41340,443,192.168.20.106,216.58.208.234,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,66,111.3076923076923,583,1802901.8461538458,66,861.0909090909091,1484,74563832.0,0.0,0.767878846153846,9.981033,9.590692276174948,0.001035,0.10601027272727274,0.307619,1.0668906872527886,eth:ethertype:ip:tcp,13,11
669,125133784.15511043,1126204057.395994000,0,0,8,0,53652,43935,192.168.20.106,41.73.105.49,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,56.857142857142854,74,116427.42857142857,58,58.0,58,0.0,0.0,5.6884048571428565,20.480004,34.81972661495998,0.422269,0.422269,0.422269,0.0,eth:ethertype:ip:tcp,7,1
670,281551007.96170145,1126204031.846806000,0,0,3,0,49950,51413,192.168.20.106,119.236.21.150,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0572973333333333,2.159978,2.291315034613966,9999,0,0,0,eth:ethertype:ip:tcp,3,0
671,38834621.41856028,1126204021.138248000,0,0,28,0,50048,443,192.168.20.106,13.35.183.61,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,66,137.4375,583,4269123.0625,66,597.3333333333334,1553,43603661.5,0.0,0.0009989375,0.014143,0.015364446355547604,2e-05,0.08620941666666666,0.307663,0.9562695721431884,eth:ethertype:ip:tcp,16,12
672,375401343.29739636,1126204029.892189000,0,0,2,0,32774,6881,192.168.20.106,177.45.47.250,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.942686,0.942686,0.942686,0.0,eth:ethertype:ip:tcp,1,1
673,112620405.18953149,1126204051.895315000,0,0,9,0,43096,30206,192.168.20.106,149.56.29.14,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,66,106.0,134,405547.4285714286,54,64.0,74,4196.0,0.0,0.6671601428571428,2.106645,4.062532690627011,0.325994,0.3789865,0.431979,0.3826734537938319,eth:ethertype:ip:tcp,7,2
674,35193875.62501503,1126204020.000481000,0,0,31,0,46162,443,192.168.20.106,54.243.188.208,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,66,190.55555555555554,808,10542995.555555554,66,665.2307692307693,1506,64104390.76923077,0.0,0.5059022222222223,7.795359,8.785242507852068,4.1e-05,0.2658876923076923,0.720651,3.2037783346453965,eth:ethertype:ip:tcp,18,13
675,281551009.724496,1126204038.897984000,0,0,3,0,41714,6881,192.168.20.106,79.152.82.65,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0610196666666667,2.159996,2.2981228005675995,9999,0,0,0,eth:ethertype:ip:tcp,3,0
676,0.0,0.000000000,0,1,0,0,,,,,45:00:00:3c:7b:cc,fd:18:40:2f:08:00,,,74,74.0,74,0.0,74,74.0,74,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
